City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
236,miranda,3.2499,-76.2281,71.73,96,100,0.72,CO,2023-10-04 03:48:22
237,bamboo flat,11.7,92.7167,78.89,89,100,8.05,IN,2023-10-04 03:48:22
238,kingston,17.997,-76.7936,85.15,86,20,9.22,JM,2023-10-04 03:43:43
239,alice springs,-23.7,133.8833,69.35,14,0,13.8,AU,2023-10-04 03:46:04
240,tolanaro,-25.0319,46.9987,66.27,68,20,11.5,MG,2023-10-04 03:48:23
241,lae,-6.7221,146.9847,86.67,74,100,7.92,PG,2023-10-04 03:48:23
242,altea,38.5989,-0.0514,75.31,82,100,8.46,ES,2023-10-04 03:48:23
243,crane,31.3974,-102.3501,71.46,76,44,18.1,US,2023-10-04 03:48:23
244,at-bashi,41.1702,75.8106,53.28,28,95,1.03,KG,2023-10-04 03:48:23
245,ad dawadimi,24.5077,44.3924,74.55,15,0,11.5,SA,2023-10-04 03:48:23
246,sylt-ost,54.8833,8.35,57.29,77,75,20.71,DE,2023-10-04 03:48:23
247,hithadhoo,-0.6,73.0833,81.93,78,82,12.26,MV,2023-10-04 03:48:23
248,sinabang,2.4803,96.3801,82.89,70,94,11.41,ID,2023-10-04 03:48:23
249,lewiston orchards,46.3804,-116.9754,60.71,72,0,6.91,US,2023-10-04 03:48:24
250,ambovombe,-25.1667,46.0833,64.51,61,0,6.13,MG,2023-10-04 03:48:24
251,yeed,4.55,43.0333,77.67,72,100,12.97,SO,2023-10-04 03:48:24
252,leava,-14.3,-178.1667,79.39,84,95,24.56,WF,2023-10-04 03:48:24
253,san jose,37.3394,-121.895,71.74,57,0,28.01,US,2023-10-04 03:44:30
254,kamina,-8.7386,24.9906,67.73,49,92,4.76,CD,2023-10-04 03:48:24
255,obo,5.3998,26.4869,68.54,97,100,3.36,CF,2023-10-04 03:48:24
256,san patricio,28.017,-97.5169,85.86,80,5,9.55,US,2023-10-04 03:48:24
257,sierpc,52.8568,19.6691,53.82,81,64,18.43,PL,2023-10-04 03:48:24
258,la ronge,55.1001,-105.2842,41.25,93,0,4.61,CA,2023-10-04 03:48:24
259,gracemere,-23.4333,150.45,80.51,54,40,10.36,AU,2023-10-04 03:48:25
260,carahue,-38.7,-73.1667,39.88,94,1,1.19,CL,2023-10-04 03:48:25
261,howard springs,-12.497,131.047,91.31,39,34,9.6,AU,2023-10-04 03:48:25
262,mahdia,35.5047,11.0622,66.15,73,5,4.63,TN,2023-10-04 03:48:25
263,sudogda,55.9539,40.8629,54.14,62,100,12.68,RU,2023-10-04 03:48:25
264,mariental,-24.6333,17.9667,74.23,32,71,3.71,NA,2023-10-04 03:48:25
265,sao vicente,-23.9631,-46.3919,75.38,26,98,2.06,BR,2023-10-04 03:44:12
266,seaside,36.6111,-121.8516,61.92,89,20,1.99,US,2023-10-04 03:43:59
267,malango,-2.9627,119.9001,87.01,49,15,5.39,ID,2023-10-04 03:48:25
268,safaga,26.7292,33.9365,82.13,38,12,16.04,EG,2023-10-04 03:48:25
269,baturaja,-4.1333,104.1667,95.49,35,43,5.35,ID,2023-10-04 03:48:25
270,tamasi,46.6333,18.2833,64.49,62,77,17.31,HU,2023-10-04 03:48:25
271,minas de marcona,-15.2119,-75.1103,56.19,91,94,10.45,PE,2023-10-04 03:48:26
272,sredets,42.3475,27.179,50.11,76,1,2.57,BG,2023-10-04 03:48:26
273,vilyuysk,63.7553,121.6247,36.43,51,30,9.37,RU,2023-10-04 03:48:26
274,udachny,66.4167,112.4,26.46,85,100,18.5,RU,2023-10-04 03:48:26
275,whakatane,-37.9585,176.9854,65.88,65,0,5.01,NZ,2023-10-04 03:48:26
276,dharchula,29.85,80.5333,77.65,54,0,4.38,IN,2023-10-04 03:48:26
277,sabac,44.7467,19.69,62.26,67,80,6.49,RS,2023-10-04 03:48:26
278,brownfield,33.1812,-102.2744,67.95,60,63,14.2,US,2023-10-04 03:48:26
279,yayva,59.3303,57.2641,45.97,89,98,6.85,RU,2023-10-04 03:48:26
280,cole harbour,44.6724,-63.4751,57.96,88,45,4.0,CA,2023-10-04 03:48:26
281,swellendam,-34.0226,20.4417,57.7,90,100,2.3,ZA,2023-10-04 03:48:26
282,kayangel,8.0823,134.7173,78.33,86,100,8.43,PW,2023-10-04 03:48:27
